hot,lat,lng
24,30.864656965,121.576426687
27,30.864961356,121.487335823
28,30.865885736,121.475700784
26,30.866193074,121.576438551
18,30.866370487,121.18856006
26,30.866370682,121.575145693
20,30.867951032,121.864125641
23,30.86803377,121.861536208
29,30.868138809,121.571206915
29,30.868138809,121.571206915
29,30.868138809,121.571206915
29,30.868659297,121.575104632
21,30.869904774,121.863558932
21,30.869904774,121.863558932
15,30.871318223,121.744796071
7,30.871839365,121.107261923
7,30.871839365,121.107261923
33,30.872371289,121.57583135
21,30.872846541,121.865026463
21,30.873033342,121.863765783
30,30.874627996,121.645621574
29,30.874765825,121.675422707
50,30.875494015,121.545218456
57,30.877643363,121.508004647
29,30.878018153,121.795142437
29,30.878018153,121.795142437
29,30.878018153,121.795142437
29,30.878018153,121.795142437
29,30.878018153,121.795142437
29,30.878018153,121.795142437
29,30.878018153,121.795142437
29,30.878018153,121.795142437
29,30.878018153,121.795142437
29,30.878018153,121.795142437
15,30.878086378,121.27137697
15,30.878086378,121.27137697
15,30.878086378,121.27137697
21,30.878975901,121.86548055
21,30.878975901,121.86548055
8,30.879175443,121.101552
19,30.879482058,121.702603662
70,30.879980409,121.549806427
24,30.880168671,121.861033555
21,30.880464108,121.865250161
24,30.882304067,121.756362022
72,30.883153868,121.537575896
8,30.883566904,121.094757032
16,30.885191179,121.168592622
18,30.885327492,121.32955589
16,30.886142925,121.92393305
18,30.886611967,121.404106616
16,30.887866095,121.925234514
82,30.888592459,121.553208222
18,30.890250983,121.365575266
18,30.890250983,121.365575266
18,30.890250983,121.365575266
17,30.890305269,121.923916593
17,30.890305269,121.923916593
17,30.890305269,121.923916593
17,30.890305269,121.923916593
17,30.891798226,121.929225735
15,30.892806648,121.177375159
15,30.892806648,121.177375159
15,30.892806648,121.177375159
15,30.892806648,121.177375159
85,30.894392727,121.583362608
84,30.894663492,121.567850743
84,30.894663492,121.567850743
16,30.895144875,121.18489401
16,30.895144875,121.18489401
16,30.895144875,121.18489401
16,30.895144875,121.18489401
16,30.895144875,121.18489401
16,30.895144875,121.18489401
15,30.89633693,121.170089993
29,30.897234884,121.751082397
20,30.897255774,121.744193179
20,30.897255774,121.744193179
20,30.897255774,121.744193179
20,30.897255774,121.744193179
49,30.897512209,121.642024066
29,30.897587321,121.748351218
31,30.897808837,121.879413329
8,30.898274179,121.02102106
84,30.898558301,121.541647697
84,30.898558301,121.541647697
84,30.898558301,121.541647697
84,30.898558301,121.541647697
20,30.898924628,121.27185787
25,30.899338927,121.339494049
7,30.899349645,121.02706292
46,30.899856224,121.656072238
59,30.900133813,121.472457528
29,30.900313474,121.907073966
58,30.900824476,121.45138597
23,30.901912122,121.73623121
23,30.902338368,121.382673081
8,30.902582141,121.034592786
52,30.902682814,121.45710208
23,30.903404204,121.727964562
23,30.90359895,121.732123581
51,30.903807694,121.432382774
31,30.903977636,121.809987338
36,30.904028157,121.813644207
8,30.904730218,121.026890605
24,30.904731784,121.330809396
7,30.904793941,121.000947424
8,30.904970491,121.023304009
10,30.905475047,121.111648436
31,30.905748562,121.810155698
78,30.906101025,121.626496227
75,30.906115361,121.507998963
75,30.906115361,121.507998963
75,30.906115361,121.507998963
42,30.907059566,121.817002407
91,30.907229596,121.543310368
91,30.907229596,121.543310368
91,30.907229596,121.543310368
57,30.907337228,121.458801026
58,30.907671262,121.453490239
56,30.907921938,121.463162912
56,30.907921938,121.463162912
59,30.908899393,121.46954735
59,30.908899393,121.46954735
44,30.909069994,121.834879121
20,30.909089595,121.402986111
21,30.909210736,121.403942398
54,30.909320918,121.454560578
31,30.909437247,121.920274907
31,30.909437247,121.920274907
31,30.909437247,121.920274907
34,30.909778727,121.695604328
34,30.909778727,121.695604328
85,30.910030731,121.497625327
88,30.911303763,121.517942154
42,30.911353745,121.821750431
55,30.912254147,121.64234134
55,30.912254147,121.64234134
62,30.912996908,121.464668659
62,30.912996908,121.464668659
21,30.913111927,121.40354909
21,30.913111927,121.40354909
82,30.913282715,121.528920619
69,30.913445284,121.47400268
55,30.913454127,121.647867117
55,30.913454127,121.647867117
49,30.913814339,121.663041084
91,30.914144787,121.516209855
42,30.914386555,121.816711479
67,30.914508685,121.469728754
95,30.91514016,121.560668808
95,30.91514016,121.560668808
92,30.915355535,121.516530999
59,30.915463793,121.647230036
59,30.915463793,121.647230036
57,30.915793117,121.649709758
57,30.916135438,121.65705942
45,30.916543966,121.820428176
37,30.916609782,121.813233206
37,30.916609782,121.813233206
75,30.916887226,121.483493528
35,30.917003886,121.923154346
45,30.917086706,121.82012273
62,30.917090749,121.465378784
62,30.917627604,121.638447023
103,30.917942926,121.543183763
103,30.917942926,121.543183763
103,30.917942926,121.543183763
75,30.918129349,121.633717549
36,30.918705161,121.805656658
93,30.919370946,121.598272094
93,30.919370946,121.598272094
95,30.919769853,121.626313659
95,30.919769853,121.626313659
95,30.919769853,121.626313659
95,30.919769853,121.626313659
35,30.919804762,121.807349829
68,30.920658249,121.638286134
68,30.920658249,121.638286134
68,30.920658249,121.638286134
63,30.921195737,121.648848322
63,30.921195737,121.648848322
41,30.921575917,121.828458308
35,30.921846762,121.922541078
95,30.922292537,121.580086597
95,30.922292537,121.580086597
100,30.923195849,121.585868188
100,30.923195849,121.585868188
100,30.923195849,121.585868188
100,30.923195849,121.585868188
99,30.923708225,121.509657825
99,30.923708225,121.509657825
90,30.923714489,121.480545927
90,30.923714489,121.480545927
90,30.923714489,121.480545927
90,30.923714489,121.480545927
101,30.923758707,121.57642939
101,30.923758707,121.57642939
99,30.923835583,121.582949413
57,30.924206989,121.423086694
57,30.924206989,121.423086694
95,30.92454274,121.488404876
41,30.924666915,121.796564392
106,30.925925473,121.560720735
