id,aqi,lan,lng,time,tz
8316,164,39.6939166,117.293766,1492128000,+08:00
8317,164,39.09812,117.15778,1492128000,+08:00
8318,122,23.1323,113.3208,1492128000,+08:00
8319,87,30.65638889,104.0238889,1492128000,+08:00
8324,53,18.247769049494,99.766891808156,1492117200,+07:00
8334,80,34.6817021,131.8100372,1492128000,+09:00
8335,78,33.3903905,132.9389777,1492128000,+09:00
8336,68,32.8044115,130.7140239,1492128000,+09:00
8337,57,32.7829859,130.7410562,1492128000,+09:00
8338,46,32.2258019,131.1559289,1492124400,+09:00
8499,59,37.554936,126.937619,1492131600,+09:00
8500,70,37.520222,126.904967,1492131600,+09:00
8501,132,36.211447,127.228369,1492131600,+09:00
8502,63,35.89101,128.608242,1492088400,+09:00
8533,44,29.896207,121.6165954,1492128000,+08:00
8534,63,30.3248112,121.2543507,1492128000,+08:00
8537,178,30.61503,104.08542,1487088000,+08:00
8538,194,30.71012,104.05409,1487088000,+08:00
8539,119,30.63808,103.99101,1489762800,+08:00
8540,85,30.62862,104.03461,1489762800,+08:00
8541,99,30.62729,104.05846,1489762800,+08:00
8543,174,30.72998,103.95959,1481806800,+08:00
8544,109,30.55659,104.27211,1491933600,+08:00
8545,197,30.88759,104.25266,1487088000,+08:00
8546,170,30.85354,104.33322,1487088000,+08:00
8547,172,30.82539,104.17008,1487088000,+08:00
8548,114,30.78802,104.15675,1489759200,+08:00
8549,167,30.69486,103.85463,1487088000,+08:00
8550,177,30.75449,103.78828,1487077200,+08:00
8552,173,30.57492,103.92329,1487088000,+08:00
8553,107,30.50972,104.04997,1489762800,+08:00
8554,91,30.79105,103.90681,1489759200,+08:00
8556,102,30.56857,103.50513,1491933600,+08:00
8557,163,30.19519,103.49844,1487088000,+08:00
8559,160,30.997,103.94807,1487088000,+08:00
8560,68,30.40999,103.45776,1491933600,+08:00
8561,166,30.62746,103.67421,1487088000,+08:00
8599,91,47.9329056,106.9213833,1492128000,+08:00
8600,128,47.9035389,106.8507083,1492128000,+08:00
8629,65,39.141,116.991,1477504800,+08:00
8631,50,18.29029,109.71186,1492124400,+08:00
8632,57,18.219168,109.49364,1492124400,+08:00
8633,93,19.52841,109.63583,1492124400,+08:00
8634,70,19.37706,110.1108,1492124400,+08:00
8635,80,19.74111,110.0023,1492124400,+08:00
8636,46,19.085833,109.1225,1492124400,+08:00
8637,22,19.241667,108.96528,1492124400,+08:00
8638,109,19.34972,108.68472,1492124400,+08:00
8639,27,18.5064,110.0083,1492124400,+08:00
8641,139,21.0215063,105.8188748,1492124400,+07:00
8642,91,47.928387,106.92947,1492128000,+08:00
8672,176,28.41012222,77.313775,1492120800,+05:30
8673,193,26.84578611,80.93874444,1492120800,+05:30
8674,190,25.61046,85.141667,1492120800,+05:30
8675,180,26.2920639,73.037911,1492120800,+05:30
8678,99,19.041847,72.865513,1492120800,+05:30
8679,109,18.497484,73.81349,1492117200,+05:30
8680,68,30.7057778,76.853181,1492120800,+05:30
8681,171,26.0762,85.4115,1492120800,+05:30
8682,194,19.9599146,79.3002518,1492120800,+05:30
8683,69,22.06047,88.109737,1492120800,+05:30
8684,154,24.7489694,84.9438395,1492120800,+05:30
8685,254,28.4501285,77.0263051,1492120800,+05:30
8688,122,21.0811211,105.8180306,1492125033,+07:00
