R,G,B,Transparency,Distance
169,60,65,255,20.65086454487543
144,26,38,255,56.89768347977385
145,16,34,255,66.29397895948318
188,50,73,255,35.59027962952631
128,113,134,255,78.7712630378122
87,72,93,255,70.23590445497523
120,105,124,255,70.61347076379374
123,111,125,255,73.62432528413042
124,112,126,255,74.46852696163155
117,105,119,255,69.25619010451446
108,38,72,255,53.87936922387864
110,35,66,255,54.84735576445611
152,54,113,255,33.81156288498883
175,59,134,255,57.183590292872154
180,54,138,255,63.19124458988975
183,56,147,255,72.38154919856832
163,67,138,255,58.318059060873914
146,59,127,255,47.66795044173332
166,77,133,255,55.67842072526226
136,29,39,255,56.49455717379648
156,41,48,255,38.71443547599552
147,34,40,255,49.97005765710942
161,55,59,255,23.2484441486432
145,49,51,255,33.849731451473026
203,80,82,255,50.843274984373586
174,31,37,255,56.58777245420005
177,34,38,255,55.305957556804614
201,71,71,255,47.379557023078945
155,48,54,255,29.967381199401803
169,33,53,255,42.286842590704836
218,71,100,255,66.19233484782265
127,112,131,255,76.46831954052445
124,109,128,255,73.77223861640877
120,108,122,255,71.28450442184506
121,109,123,255,72.0312488088319
106,96,105,255,64.71169168999967
113,34,63,255,53.81036255275453
123,33,84,255,43.774244836777406
173,60,129,255,51.758061894684886
175,49,130,255,54.96635872938374
183,56,147,255,72.38154919856832
150,68,132,255,52.22453219920979
154,76,138,255,59.26419841612247
134,46,96,255,31.0610422377606
134,33,49,255,47.9158969427342
137,27,40,255,56.64758736493214
159,43,54,255,32.83338478435546
152,38,48,255,40.57426244568055
146,45,49,255,37.003371113405834
132,38,39,255,53.34718858758596
175,59,60,255,28.45902564078932
208,89,83,255,59.08840019091497
202,63,70,255,47.75182398823862
181,36,43,255,52.34440156038565
174,34,37,255,54.98983598462412
192,100,87,255,53.02214113299516
184,95,87,255,44.00957461729197
145,30,37,255,55.02349440934502
206,60,83,255,50.72013100218599
119,106,123,255,71.12228482837885
126,113,130,255,76.84738797936886
115,101,118,255,67.46470110718403
127,115,129,255,77.17915658201149
118,106,116,255,67.70867445333096
152,44,104,255,30.0223249530774
177,55,128,255,52.78863812485592
178,54,140,255,64.29001330132589
143,63,126,255,47.28256951604595
147,72,131,255,52.238009573015646
132,29,48,255,51.95189320434584
144,32,48,255,45.72961065417951
154,39,52,255,36.69101122110651
156,51,58,255,25.03863374520912
148,49,52,255,32.166305336423925
135,25,26,255,68.97812818649209
195,77,75,255,42.61412986024457
210,91,85,255,61.898945917562436
183,40,46,255,49.36960704679064
181,32,38,255,58.00381221962827
193,55,55,255,45.93647806359808
177,94,80,255,38.43322987373649
192,82,83,255,41.69095252863291
147,20,31,255,65.50458085305235
176,33,53,255,45.02922085060383
219,71,97,255,66.32421300660066
107,95,107,255,64.23184390896779
122,110,122,255,71.63123122160472
112,100,114,255,66.64321943253978
129,115,132,255,78.40771119964461
123,111,125,255,73.62432528413042
122,110,122,255,71.63123122160472
117,104,113,255,65.45523599308812
113,39,62,255,51.712229618087406
119,21,70,255,55.95636950743787
162,50,114,255,36.376745018250126
173,55,133,255,55.955598705331475
181,58,148,255,72.4296526677957
148,66,130,255,50.31263553862688
144,69,128,255,49.43428912480764
151,73,133,255,53.89523873313381
164,69,125,255,45.94747725952636
146,34,50,255,42.511619107797436
154,42,54,255,33.26295428315939
